CoreNumber,ReductionMethod,ToolNumber,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,TechnicalCategory,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,FlakeProfile,ProfileTwisted?,Mass,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,Curvature,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,Notes
d12,freehand,3,FlakeFrag,Proximal,,B1,0%,No,,3,Unidirectional,Indeterminate,,No,2.25,21.33,0,20.45,14.36,5.24,0,8.11,4.79,2.76,0,,FacetedWithBulb,3,None,No,Lateral,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d12,freehand,9,CompFlake,,No,B3,91-99%,No,WholeDorsal,2,Unidirectional,,Ovoid,Yes,16.57,40.78,39.43,34.8,34.8,14.13,14.12,0,0,0,0,Axial,Indeterminate,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,None,HingedBulb,NoLip,Crushed,No,,
d12,freehand,12,Shatter,,,,1-9%,,,0,,,,,0.32,11.51,0,7.91,0,4.02,0,0,0,0,0,,,,,,,,,,,,,,
d12,freehand,23,CompFlake,,No,B2,1-9%,No,DistalLeftLat,2,Unidirectional,,Expanding,Yes,5,40.79,40.71,20.86,20.49,5.46,5.05,0,0,0,2.2,Overshoot,Indeterminate,,Indeterminate,Yes,Indeterminate,Indeterminate,None,HertzianCone,NoLip,Crushed,No,,
d12,freehand,26,CompFlake,,No,B2,11-40%,No,Distal,2,Unidirectional,,Paralell,No,2.73,36.62,36.43,14.04,13.94,4.99,5,2.6,0.7,0,0.9,Axial,NotPrepared,,HingedRemovals,Yes,Lateral,RegCurve,None,HertzianCone,LargeContinuousLip,NarrowLinear,No,,
d12,freehand,31,CompFlake,,No,A3,91-99%,No,WholeDorsal,3,Unidirectional,Indeterminate,Paralell,No,3.01,37.92,37.84,18.12,17.93,5.17,3.8,6.93,2.56,2.76,1.3,Feather,NotPrepared,,None,Yes,Lateral,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,QuadrangularTrapezoid,No,,
d12,freehand,32,FlakeFrag,Distal,,A2,100%,,WholeDorsal,0,Indeterminate,,,,1.34,23.63,0,15.82,0,2.88,0,0,0,0,0,Feather,,,,,,,,,,,No,,
d12,freehand,33,FlakeFrag,Proximal,,B1,0%,No,,4,Unidirectional,Indeterminate,,No,1.38,21.19,0,13.53,13.45,8.35,0,0,0,0,0,,Indeterminate,,HingedRemovals,Yes,Indeterminate,Indeterminate,CompleteFissure,ShearedBulb,NoLip,ReducedToAnEdge,No,,
d12,freehand,37,CompFlake,,No,B7,11-40%,No,RightLateral,2,Subradial,,Other,No,1.6,24.61,20.12,15.07,15.16,5.62,4.04,4.49,1.91,0,0.5,Feather,NotPrepared,,HingedRemovals,Yes,Lateral,OverhangCurveBreak,None,HertzianCone,NoLip,QuadrangularTrapezoid,No,,
d12,freehand,42,CompFlake,,No,B1,0%,No,,2,Unidirectional,,Expanding,No,0.11,13.29,10.82,12.04,9.98,1.67,1.69,2.7,0.74,0,0,Feather,NotPrepared,,HingedRemovals,Yes,NotExpressed,Indeterminate,PartialFissure,HertzianCone,NoLip,NarrowCurved,No,,
d12,freehand,43,FlakeFrag,Proximal,,B1,0%,No,,2,Unidirectional,,,Yes,0.21,13.16,0,10.26,6.21,1.83,0,2.32,0.81,0,0.2,,NotPrepared,,HingedRemovals,Yes,Indeterminate,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,ReducedToAnEdge,No,,
d12,freehand,44,CompFlake,,No,B1,0%,No,,2,Unidirectional,,Expanding,No,0.44,21.61,21.83,13.08,12.16,2.62,2.31,1.79,0.5,0,0,Feather,NotPrepared,,HingedRemovals,Yes,Lateral,OverhangCurveBreak,None,HertzianCone,NoLip,NarrowLinear,No,,
d12,freehand,45,FlakeFrag,Proximal,,A3,61-90%,No,RightLateral,2,Unidirectional,,,No,0.49,11.23,0,11.34,11.6,3.28,0,5.1,1.85,0,0,,NotPrepared,,HingedRemovals,Yes,Centered,OverhangCurveBreak,PartialFissure,ErrailuerScar,NoLip,OvularOrTriangular,No,,
d12,freehand,49,FlakeFrag,Proximal,,B1,0%,No,,2,Unidirectional,,,No,0.1,16.11,0,4.96,4.24,1.56,0,0.88,0.61,0,0,,NotPrepared,,HingedRemovals,Yes,Centered,OverhangCurveBreak,None,HertzianCone,NoLip,Punctiform,No,,very punch like bladelet
d12,freehand,54,BrokenButNearlyComplete,Complete,No,B1,0%,No,,2,Unidirectional,,,No,0.26,14.76,14.68,10.26,7.04,2.23,1.6,2.06,0.57,0,0,Hinge,Indeterminate,,HingedRemovals,Yes,Indeterminate,Indeterminate,CompleteFissure,ErrailuerScar,NoLip,ReducedToAnEdge,No,,
d12,freehand,56,CompFlake,,Yes,B6,1-9%,No,,2,,Parallel,Paralell,Yes,0.06,15.14,15.58,6.43,6.42,1.43,0.84,2.28,1.2,0,0.1,Splintered,NotPrepared,,None,No,Lateral,OverhangCurveBreak,None,HertzianCone,NoLip,NarrowLinear,No,,
d12,freehand,58,FlakeFrag,Proximal,,B1,0%,No,,2,Unidirectional,,,Yes,0.26,12.63,0,10.72,9.06,1.97,0,2.76,0.77,0,0,,NotPrepared,,Indeterminate,No,Lateral,RegCurve,None,HertzianCone,NoLip,NarrowLinear,No,,
d12,freehand,59,Shatter,,,,61-90%,,,0,,,,,0.41,13.22,0,13.31,0,3.44,0,0,0,0,0,,,,,,,,,,,,,,
